PLAYER,TEAM,AGE,GP,W ,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus/minus
Kyle Anderson,SAS,22,78,64,16,4.5,1.8,3.8,0.2,0.5,0.8,1.1,0.3,2.8,1.6,0.8,0.8,0.4,1.2,13.3,1,0,2.6
LeMarcus Aldridge,SAS,30,74,61,30.6,18,7.2,14.1,0,0.2,3.5,4.1,2.4,6.2,1.5,1.3,0.5,1.1,2,34,26,0,6.9
Manu Ginobli,SAS,38,58,47,19.6,9.6,3.4,7.5,1.2,3.1,1.6,1.9,0.4,2.1,3.1,1.7,1.1,0.2,1.7,19.4,0,0,5.7
Matt Bonner,SAS,36,30,25,6.9,2.5,1,1.9,0.5,1.1,0.1,0.1,0.1,0.8,0.3,0.1,0.2,0,0.5,4.7,0,0,2.1
Patty Mills,SAS,27,81,66,20.5,8.5,3.2,7.6,1.5,4,0.6,0.7,0.3,1.6,2.8,0.9,0.7,0.1,1.3,16.5,0,0,4.7
Rasual Butler,SAS,37,46,41,9.4,2.7,1.1,2.3,0.3,1.1,0.2,0.3,0.1,1.2,0.5,0.2,0.3,0.5,0.2,7.1,0,0,1.7
Ray McCallum,SAS,25,41,30,11.6,3.3,1.3,3.6,0.4,1,0.3,0.4,0.2,1,1.5,0.6,0.3,0.2,0.7,7.7,0,0,0.5
Tim Duncan,SAS,40,61,50,25.2,8.6,3.5,7.2,0,0,1.5,2.1,1.9,5.4,2.7,1.5,0.8,1.3,2,26,11,0,7
Tony Parker,SAS,34,72,59,27.5,11.9,4.9,9.9,0.4,0.9,1.8,2.4,0.2,2.2,5.3,1.8,0.8,0.2,1.6,23.6,3,0,5.7
Ben McLemore,SAC,23,68,28,21.2,7.8,2.9,6.7,1,2.7,1.1,1.5,0.5,1.7,1.2,1.5,0.8,0.1,2.1,13.4,0,0,0.3
Caron Butler,SAC,36,17,2,10.3,3.7,1.5,3.5,0.2,1.1,0.6,0.7,0.3,1,0.6,0.2,0.5,0.1,1.1,7.7,0,0,-2.4
Darren Collison,SAC,28,74,29,30,14,5.1,10.5,1.2,2.9,2.6,3.1,0.4,1.9,4.3,1.8,1,0.1,1.9,24.7,4,0,-0.9
DeMarcus Cousins,SAC,25,65,29,34.6,26.9,9.2,20.5,1.1,3.2,7.3,10.2,2.4,9.1,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6
Duje Dukan,SAC,24,1,0,24.2,6,2,10,2,5,0,0,2,2,1,0,1,0,2,15.3,0,0,-8
Eric Moreland,SAC,24,8,1,5.9,1,0.4,0.8,0,0,0.3,0.5,0.4,1,0.1,0.4,0,0.5,0.5,4,0,0,0.9
James Anderson,SAC,27,51,19,14.1,3.5,1.3,3.5,0.5,1.7,0.4,0.6,0.3,1.4,0.8,0.8,0.4,0.3,1.1,8,0,0,-1.6
Kosta Koufos,SAC,27,78,32,19,6.8,3,5.7,0,0,0.7,1.3,2.2,3.3,0.4,0.6,0.5,0.9,2.4,17.5,5,0,-2.9
Marco Belinelli,SAC,30,68,27,24.6,10.2,3.6,9.3,1.3,4.4,1.7,2,0.1,1.6,1.9,1.2,0.5,0,1.3,15.6,0,0,-2.7
Omri Casspi,SAC,28,69,27,27.3,11.8,4.3,9,1.6,4,1.5,2.3,0.8,5.1,1.4,1.4,0.8,0.2,2.2,22.8,6,0,0.1
Quincy Acy,SAC,25,59,21,14.8,5.2,2,3.6,0.3,0.8,0.8,1.2,1.1,2.1,0.5,0.5,0.5,0.4,1.7,12,0,0,-2.1
Rajon Rondo,SAC,30,72,29,35.2,11.9,4.9,10.9,0.9,2.4,1.2,2.1,1.1,5,11.7,3.9,2,0.1,2.4,39.1,37,6,-2.1
Rudy Gay,SAC,29,70,29,34,17.2,6.7,14.4,1.1,3.1,2.8,3.6,1.5,5,1.7,2,1.4,0.7,2.6,32.1,7,0,-1.2
Seth Curry,SAC,25,44,17,15.7,6.8,2.3,5.1,1.1,2.5,1,1.2,0.2,1.2,1.5,0.8,0.5,0.1,0.9,11.6,1,0,-0.8
Willie Cauley-Stein,SAC,22,66,26,21.4,7,2.9,5.1,0,0,1.2,1.9,2,3.3,0.6,0.7,0.7,1,2.2,18.7,3,0,-1.2
